row,baseline,continuous_z_controls,full_theta_dynamics
G_it,0.167,0.190,0.185
t-stat.,(0.939),(0.896),(0.851)
G_it_x_theta_F_it,,0.023,0.021
t-stat.,,(0.420),(0.384)
theta_F_it,,,0.003
t-stat.,,,(0.573)
Real GDP,8.143***,8.158***,7.986***
t-stat.,(5.296),(5.306),(5.099)
Real GDP growth,-0.339***,-0.338***,-0.343***
t-stat.,(-3.756),(-3.749),(-3.715)
CPI inflation,-0.173**,-0.173**,-0.172**
t-stat.,(-2.049),(-2.050),(-2.094)
Overall balance/GDP,-0.478***,-0.480***,-0.478***
t-stat.,(-5.969),(-5.993),(-5.890)
International reserves,0.022,0.022,0.020
t-stat.,(1.530),(1.523),(1.403)
Government effectiveness,-2.059**,-2.020**,-1.838*
t-stat.,(-2.137),(-2.087),(-1.818)
Regulatory quality,1.592*,1.579*,1.406
t-stat.,(1.798),(1.793),(1.481)
Terms of trade,0.042***,0.042***,0.041**
t-stat.,(2.705),(2.703),(2.566)
Theta main effect,No,No,Yes
Debt control,No,No,No
Controls,Yes,Yes,Yes
Country FE,Yes,Yes,Yes
Year FE,Yes,Yes,Yes
p(lambda0=0),0.348,0.371,0.395
p(lambda1=0),,0.674,0.701
p(lambda2=0),,,0.567
Observations,1060,1060,1060
Countries,60,60,60
Adjusted R2,0.424,0.424,0.424
