combo,G,X,table2_G,table2_G_t,table2_B,table2_X,table2_r2,full_GxB,full_GxX,theta_mean,theta_median,debt_baseline_G,debt_continuous_Gtheta,debt_full_theta_main,rss_cutoff,rss_lambda_L,rss_lambda_H,rss_p_equal,N,report
readiness100__vulnerability100,readiness100,vulnerability100,-2.877,(-1.441),4.331***,-3.765,0.899,-1.431,411.616,1.866,1.404,0.056,-0.089,-0.007***,10.417,0.066,-10.028***,0.001,1060,result/gx_delta_grid/readiness100__vulnerability100/report.md
readiness100__vulnerability_delta100,readiness100,vulnerability_delta100,-2.854,(-1.430),4.334***,1.724,0.899,-1.384,395.039,1.396,1.076,0.056,-0.052,-0.003**,15.662,0.064,-8.756***,0.000,1060,result/gx_delta_grid/readiness100__vulnerability_delta100/report.md
readiness100__capacity,readiness100,capacity,-2.868,(-1.439),4.331***,-1.850,0.899,-2.180,708.058,0.892,0.220,0.056,-0.080**,-0.001,20.427,0.064,-6.889***,0.001,1060,result/gx_delta_grid/readiness100__capacity/report.md
readiness100__sensitivity,readiness100,sensitivity,-2.876,(-1.434),4.332***,-1.792,0.899,0.755,-877.736,1.224,0.920,0.056,-0.044,0.000,-0.615,1.060,0.030,0.381,1060,result/gx_delta_grid/readiness100__sensitivity/report.md
EcoReadiness100__vulnerability100,EcoReadiness100,vulnerability100,-1.494**,(-2.471),4.332***,-3.821,0.900,0.973,-92.306,0.751,0.758,0.014,-0.207***,0.006,0.700,0.084**,-0.056*,0.001,1060,result/gx_delta_grid/EcoReadiness100__vulnerability100/report.md
EcoReadiness100__vulnerability_delta100,EcoReadiness100,vulnerability_delta100,-1.488**,(-2.459),4.336***,1.800,0.900,0.502,234.353,0.364,0.397,0.014,-0.021,-0.003,4.086,0.012,3.799*,0.095,1060,result/gx_delta_grid/EcoReadiness100__vulnerability_delta100/report.md
EcoReadiness100__capacity,EcoReadiness100,capacity,-1.489**,(-2.466),4.332***,-1.795,0.900,0.685,78.408,0.592,0.550,0.014,-0.212***,-0.007,1.213,0.027,-1.115*,0.052,1060,result/gx_delta_grid/EcoReadiness100__capacity/report.md
EcoReadiness100__sensitivity,EcoReadiness100,sensitivity,-1.496**,(-2.459),4.333***,-2.004,0.900,1.100,-109.376,0.619,0.616,0.014,-0.184***,0.003,0.545,0.107**,-0.052**,0.002,1060,result/gx_delta_grid/EcoReadiness100__sensitivity/report.md
governance100__vulnerability100,governance100,vulnerability100,3.429,(0.826),4.290***,-2.786,0.900,-22.369,779.016,0.679,-2.273,-0.072,-0.007,-0.002***,76.846,-0.073,-19.052***,0.000,1044,result/gx_delta_grid/governance100__vulnerability100/report.md
governance100__vulnerability_delta100,governance100,vulnerability_delta100,3.460,(0.838),4.294***,2.346,0.900,-21.992,-286.707,0.881,-2.140,-0.072,0.009,-0.002***,-5.955,-3.575***,-0.041,0.001,1044,result/gx_delta_grid/governance100__vulnerability_delta100/report.md
governance100__capacity,governance100,capacity,3.437,(0.827),4.289***,-2.113,0.900,-21.920,817.246**,0.480,-2.338,-0.072,-0.018,-0.001***,70.389,-0.064,-18.503***,0.000,1044,result/gx_delta_grid/governance100__capacity/report.md
governance100__sensitivity,governance100,sensitivity,3.428,(0.826),4.291***,0.272,0.900,-19.653,-1168.817*,0.750,-1.777,-0.072,0.013,-0.001**,61.712,-0.064,-18.503***,0.000,1044,result/gx_delta_grid/governance100__sensitivity/report.md
social100__vulnerability100,social100,vulnerability100,2.085,(0.649),4.315***,-3.318,0.899,0.207,-686.735,-1.490,-1.193,0.167,0.159,0.003*,-3.143,-1.535***,0.270,0.000,1060,result/gx_delta_grid/social100__vulnerability100/report.md
social100__vulnerability_delta100,social100,vulnerability_delta100,2.121,(0.660),4.318***,2.014,0.899,-0.775,-295.516,-1.503,-1.395,0.167,0.058,0.004*,-7.914,-16.426***,0.179,0.000,1060,result/gx_delta_grid/social100__vulnerability_delta100/report.md
social100__capacity,social100,capacity,2.064,(0.643),4.314***,-1.717,0.899,0.037,-213.678,-1.511,-1.234,0.167,0.184,0.004**,-2.272,-0.791,0.313*,0.036,1060,result/gx_delta_grid/social100__capacity/report.md
social100__sensitivity,social100,sensitivity,2.109,(0.656),4.315***,-1.641,0.899,0.301,-7.549,-1.331,-1.093,0.167,0.245,0.036***,-3.586,-4.698***,0.216,0.000,1060,result/gx_delta_grid/social100__sensitivity/report.md
readiness_delta100__vulnerability100,readiness_delta100,vulnerability100,-2.807,(-1.429),4.333***,-3.689,0.899,4.853,823.363,0.465,0.843,0.011,-0.073,0.000,-14.758,8.971***,0.011,0.000,1060,result/gx_delta_grid/readiness_delta100__vulnerability100/report.md
readiness_delta100__vulnerability_delta100,readiness_delta100,vulnerability_delta100,-2.964,(-1.507),4.334***,-1.557,0.899,5.289,-100.784*,0.767,1.187,0.011,-0.051,0.008***,4.450,0.060,-0.719**,0.013,1060,result/gx_delta_grid/readiness_delta100__vulnerability_delta100/report.md
readiness_delta100__capacity,readiness_delta100,capacity,-2.801,(-1.428),4.333***,-1.844,0.899,5.103,663.084**,-0.252,0.160,0.011,-0.055**,-0.000,-2.741,0.644,-0.024,0.075,1060,result/gx_delta_grid/readiness_delta100__capacity/report.md
readiness_delta100__sensitivity,readiness_delta100,sensitivity,-2.806,(-1.424),4.334***,-1.738,0.899,6.770,-594.151,0.082,0.741,0.011,-0.021,0.002**,-19.213,8.965***,0.014,0.007,1060,result/gx_delta_grid/readiness_delta100__sensitivity/report.md
