start_year,end_year,cutoff,rss,b_lambda_L,se_lambda_L,t_lambda_L,p_lambda_L,b_lambda_H,se_lambda_H,t_lambda_H,p_lambda_H,diff_lambda,p_equal_lambda,N_model,N_countries,N_low,N_high,low_positive,high_negative,target_pattern
1995,2023,19.37415090788814,19260.021,.035723608,.1240716,.28792736,.77346492,-.0288637,.11995327,-.24062452,.8098979,.06458731,.00063209247,1044,59,921,123,1,1,1
1996,2023,19.37415090788814,19260.021,.035723608,.1240716,.28792736,.77346492,-.0288637,.11995327,-.24062452,.8098979,.06458731,.00063209247,1044,59,921,123,1,1,1
1997,2023,19.37415090788814,19260.021,.035723608,.1240716,.28792736,.77346492,-.0288637,.11995327,-.24062452,.8098979,.06458731,.00063209247,1044,59,921,123,1,1,1
1998,2023,19.37415090788814,19260.021,.035723608,.1240716,.28792736,.77346492,-.0288637,.11995327,-.24062452,.8098979,.06458731,.00063209247,1044,59,921,123,1,1,1
1999,2023,19.37415090789393,19260.021,.035723608,.12401216,.28806534,.77335936,-.0288637,.11989582,-.24073984,.80980855,.06458731,.00062832289,1043,59,920,123,1,1,1
2000,2023,19.37415090789393,19260.021,.035723608,.12401216,.28806534,.77335936,-.0288637,.11989582,-.24073984,.80980855,.06458731,.00062832289,1043,59,920,123,1,1,1
2001,2023,18.63691522929113,19107.906,.054255687,.12824041,.42307791,.67233622,-.011855448,.12376411,-.095790669,.92370749,.066111133,.00062506093,1019,59,894,125,1,1,1
2002,2023,18.63691522929113,19107.906,.054255687,.12824041,.42307791,.67233622,-.011855448,.12376411,-.095790669,.92370749,.066111133,.00062506093,1019,59,894,125,1,1,1
2003,2023,18.49042004837675,18724.682,.07187096,.12892164,.55747789,.57733929,.0054495973,.12376136,.04403311,.96488774,.066421367,.0007376275,990,59,868,122,1,0,0
2004,2023,22.70858374751494,18631.76,.0070828386,.13396761,.052869782,.95784777,-.072182395,.12953974,-.55722201,.57751906,.079265229,.00012762021,957,59,878,79,1,1,1
2005,2023,22.14467775905979,18469.627,-.0015531146,.14590235,-.010644891,.99150932,-.083689995,.14105374,-.59331995,.55312735,.082136877,.00012467822,923,59,844,79,0,1,0
2006,2023,17.83969701820177,17953.939,.05942709,.15939909,.37281951,.70938104,-.013967531,.15365051,-.090904556,.92759109,.073394619,.00058581773,889,59,774,115,1,1,1
2007,2023,18.80511246986353,17398.109,.0889,.16477257,.53953153,.58967674,.0083941612,.15885274,.052842405,.95787126,.08050584,.00021227865,851,59,740,111,1,0,0
2008,2023,25.26293459399588,14985.494,.045438841,.16386294,.27729785,.78163046,-.045601521,.15837122,-.28794068,.77347445,.091040365,.000014605525,808,59,732,76,1,1,1
2009,2023,22.09743919761174,14158.311,.019156316,.17559819,.10909176,.91316187,-.062192898,.17086984,-.36397821,.71598727,.081349216,.000049089758,763,59,669,94,1,1,1
2010,2023,22.04208894999401,13405.839,-.043450132,.18133879,-.23960748,.81071174,-.12351266,.17611577,-.70131522,.48336285,.080062531,.00041592441,717,59,622,95,0,1,0
2011,2023,45.45819672458524,12060.182,.02890617,.21413772,.1349887,.89266711,-.2620807,.20669377,-1.2679662,.20531274,.29098687,.079216488,667,59,640,27,1,1,1
2012,2023,55.70706465167297,10774.082,-.11453527,.21673124,-.52846682,.59739286,-.51808435,.31495368,-1.6449541,.1005623,.40354905,.12613402,618,59,594,24,0,1,0
2013,2023,40.87828776145383,9652.2627,-.17927095,.20572096,-.87142777,.38394827,-.79485375,.37172332,-2.138294,.032987844,.61558282,.041970674,567,59,535,32,0,1,0
2014,2023,59.99257958252737,8518.4531,-.14062856,.23116066,-.60835856,.54326504,-1.2348069,.29743496,-4.1515188,.000039705203,1.0941783,8.1507024e-15,515,59,496,19,0,1,0
2015,2023,65.05233513121433,7391.2124,-.15982923,.25997517,-.61478651,.53905797,-1.2081406,.33439124,-3.6129556,.00034274816,1.0483114,1.2672958e-12,462,59,445,17,0,1,0
2016,2023,42.68614210223428,6624.5254,.037167799,.29769626,.12485141,.90071678,-1.0363458,.37964696,-2.7297618,.0066759908,1.0735136,3.1477761e-12,407,59,385,22,1,1,1
2017,2023,54.2054393181087,5991.1763,.023052568,.38594863,.059729628,.95241404,-.72991824,.43131232,-1.6923194,.091709532,.75297081,.00070695585,351,59,330,21,1,1,1
